Russian,English
я,I
не,not
что,what
в,in
и,and
ты,you
это,this is
на,on the
с,With
он,he
мы,we
как,how
вы,you
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,but
а,a
его,his
все,all
она,she is
тебя,you
о,about
если,if
за,per
бы,would
тебе,you
они,they
чтобы,to
же,the same
есть,there is
просто,simply
из,from
к,to
для,for
ну,well
когда,when
хорошо,Good
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
всё,all
было,It was
вас,you
может,maybe
нас,us
вот,here
от,from
быть,to be
кто,who
будет,will be
почему,why
вам,to you
их,them
очень,very
могу,can
уже,already
спасибо,Thanks
или,or
нам,us
еще,more
там,there
нужно,need
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
п,P
до,before
этом,this
потому,because
теперь,now
думаю,think
больше,more
её,her
со,CO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,Lee
ещё,yet
пока,bye
даже,even
привет,Hey
сказал,said
себя,myself
должен,must
тоже,too
хочешь,want
давай,let's
что-то,something
никогда,never
эй,hey
того,Togo
тогда,then
него,him
ни,Neither
тут,here
были,were
конечно,certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,a business
можно,can
ей,her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,do
хотел,I wanted to
чего,what
эти,these
много,a lot of
после,after
этим,This
всего,Total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,life
потом,after
ней,her
такой,such
который,which the
всех,All
через,through
им,them
возможно,Maybe
немного,a little
такое,Such
слишком,too much
себе,yourself
зачем,why
должна,must
моей,mine
люди,people
знаете,You know
этой,this
думаешь,You think
свою,my
точно,Exactly
человек,human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,seems
друг,friend
куда,where
никто,nobody
поэтому,that's why
эта,this
которые,which
два,two
тот,that
сколько,How many
понимаю,Understand
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,somebody
прости,sorry
отлично,Great
похоже,it seems
парень,guy
домой,home
всем,Everyone
деньги,money
иди,Go
времени,time
дома,at home
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,You do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,Is it
слушай,listen
своей,his
лишь,only
ага,Yeah
можете,You can
простите,sorry
хотела,I wanted to
сам,myself
что-нибудь,something
тем,those
будешь,You will
прошу,I beg
три,three
деле,business
хотите,want to
говорить,talk
давайте,let's
совсем,at all
знал,He knew
знает,He knows
какой,which
моего,mine
скажи,tell
дом,house
дела,affairs
вами,you
свои,their
ж,and
говорит,He speaks
несколько,several
должно,must
про,pro
ваш,your
происходит,is happening
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,tomorrow
оно,it
черт,crap
одна,one
перед,before
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,myself
тех,those
нужен,Need
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,each
твоей,yours
будут,will be
хватит,enough
понял,understood
нее,her
уж,Oh
имя,name
против,against
кое-что,something
пор,por
чём,how
раньше,before
говорю,I say
более,more
надеюсь,hope
итак,so
при,at
ваша,Your
вообще,generally
пошли,went
мать,mother
нельзя,it is forbidden
наверное,maybe
нами,us
твои,yours
могли,Could
дай,give
ради,for the sake
всю,All
ребята,guys
ко,ko
хотя,although
понимаешь,understand
идти,go
этих,These
откуда,where
такая,Such
ясно,clear
другой,another
извините,sorry
вижу,I see
видеть,see
над,above
могут,can
равно,equals
мисс,Miss
скоро,soon
будто,Like
зовут,The name is
виду,sight
наши,our
думала,I thought
послушай,Listen
между,between
своего,your own
вопрос,question
этому,this
почти,nearly
года,of the year
человека,man
которая,which
подожди,wait
руки,arms
нормально,fine
такие,such
возьми,Take it
минут,minutes
извини,Sorry
вещи,things
могла,Could
смотри,look
хоть,though
работа,Work
пару,pair
сын,son
ваше,yours
дня,Day
пора,It's time
неё,Her
жить,live
видишь,You see
достаточно,enough
господи,God
быстро,fast
твою,Yours
весь,All
убить,Kill
ночь,night
говоришь,You say
собой,yourself
скажу,I will say
готов,ready
слышал,heard
какая,which
посмотри,look
первый,the first
самое,Most
видела,I saw
пусть,let
месте,place
нашли,Found
сказали,They said
плохо,poorly
смогу,I can
ваши,Yours
отца,Father
детей,children
знаем,We know
рад,glad
прав,right
никаких,No
имею,I have
миссис,Mrs.
иногда,sometimes
смерти,of death
своих,their own
пойду,I'll go
брат,brother
вроде,like
рядом,beside
мир,world
произошло,happened
которую,which
сделала,I did it
говорила,She said
знала,I knew
мое,my
одного,one
таким,So
помощь,help
такого,Such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,ours
говорят,they say
правильно,right
убил,Killed
одно,One
пойти,Go
друга,friend
сама,herself
долго,for a long time
работать,work
дверь,Door
делает,does
женщина,woman
важно,important
кроме,Besides
будь,Be
собираюсь,going to
вашей,yours
нужны,Need
здорово,great
номер,room
проблема,problem
проблемы,Problems
денег,of money
чёрт,crap
хороший,good
твоего,yours
одну,One
дальше,farther
вернуться,return
давно,for a long time
последний,last
ночи,nights
узнать,to know
уверена,sure
машину,car
права,rights
пять,five
моих,mine
также,also
тому,that
вечером,in the evening
дети,children
опять,again
вообще-то,Actually
серьезно,Seriously
работает,works
своим,his own
сначала,first
две,Two
одной,One
моим,mine
те,those
жена,wife
думаете,Think
помнишь,Remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,part
придется,have to
стать,become
идея,idea
дорогая,expensive
прекрасно,wonderful
слова,the words
сделали,made
видели,saw
наша,our
сердце,heart
помню,I remember
парня,guy
момент,moment
утро,morning
здравствуйте,hello
стал,became
скорее,quicker
ох,oh
большой,big
кто-нибудь,Someone
часов,hours
год,year
друзья,friends
сильно,strongly
говори,Speak
смысле,Meaning
которой,which
уйти,Leave
которого,whom
капитан,captain
работы,work
любовь,love
дочь,daughter
новый,new
боюсь,afraid
имеет,It has
стой,Stop
дней,days
той,that
голову,head
ах,Oh
столько,so many
понятно,clear
дать,to give
девушка,young woman
довольно,enough
доме,house
вечер,evening
оба,both
пойдем,let's go to
увидимся,I'll see you
шанс,chance
хорошая,Good
прежде,Before
сделаю,I will do it
какого,what
быстрее,faster
понять,understand
рассказать,tell
вашего,your his
бог,God
интересно,interesting
затем,then
умер,died
обо,about
никого,No one
парни,Guys
самый,most
твое,your
вон,There
пришел,Came
чтоб,so
поверить,Believe
слово,word
будете,You will
нашел,found
милая,Darling
странно,strange
какие,what kind
ой,oh
та,that
однажды,once
сможешь,You can
получить,get
обычно,usually
ума,mind
полагаю,I suppose
алло,Hello
посмотреть,look
иначе,otherwise
наших,ours
тело,body
хотели,They wanted
свое,Own
пришли,They came
моё,my
другие,other
выглядит,Looks
подумал,Thought
лицо,face
приятно,Nice
мам,Mom
говорите,Speak
обратно,back
нашего,ours
телефон,telephone
мире,world
честь,honour
господин,Mr.
доброе,Kind
план,plan
другом,friend
час,hour
джон,John
пути,ways
делал,did
типа,type
посмотрим,let's see
насколько,How much
пытался,tried to
правду,Truth
решил,I decided
поздно,late
нем,him
работе,work
любит,loves
хотят,They want
кому,to whom
сестра,sister
какой-то,Someone
места,Places
кого-то,Someone
скажешь,Say
следующий,next
других,others
получил,received
кстати,by the way
говорили,They said
пришла,Came
безопасности,security
рада,glad
когда-нибудь,someday
город,city
внимание,Attention
кофе,coffee
которое,which
вся,all
семья,a family
конец,the end
позже,later
дал,gave
думать,think
спать,sleep
вернулся,He returned
остаться,stay
некоторые,some
кровь,blood
оружие,weapon
пришлось,I had to
хуже,worse
дорогой,expensive
полиция,police
сможем,We can
понимаете,You see
четыре,four
которых,which
ужасно,terrible
ждать,wait
способ,way
делаю,I do
готовы,ready
совершенно,Absolutely
смотреть,watch
вернусь,I'll be back
большое,Big
единственный,the only one
вперед,forward
часа,hours
где-то,somewhere
муж,husband
идет,It goes
таких,Such
ребенка,child
машина,car
стороны,Parties
смог,smog
сына,son
играть,play
сами,themselves
верю,I believe
честно,honestly
нашла,Found
звучит,Sounds
угодно,Most
как-то,Somehow
руку,hand
начала,Beginning
перевод,translation
какое,which
взял,I took it
станет,will become
пытаюсь,Trying
внутри,inside
знали,They knew
новости,news
добрый,kind
подождите,Wait
скажите,tell
ребенок,child
вашу,yours
мальчик,boy
осталось,left
делаете,Do
году,year
мере,Meres
поняла,understood
отношения,relations
далеко,long away
вокруг,around
хотим,We want
слышала,I heard
двух,Two
приятель,buddy
никому,Nobody
мужчина,the male
неделю,A week
вернуть,return
смерть,death
сих,These
ту,that
сможет,will be able
the,The
дайте,give
двое,two
видите,See
долларов,dollars
крови,blood
решение,solution
путь,path
следует,should
неужели,Really
около,near
готова,Ready
семьи,families
идем,Let's go
смотрите,Look
круто,cool
история,story
вдруг,suddenly
спросить,ask
i,I
твоих,yours
второй,second
вина,guilt
джек,Jack
женщины,women
нашу,ours
заткнись,shut up
минуту,A minute
собираешься,You are going
твоим,yours
шоу,show
прощения,Forgiveness
больно,painfully
машины,cars
пап,dad
трудно,difficult
постоянно,constantly
поможет,will help
проблем,problems
например,for example
дерьмо,shit
полиции,police
начать,to begin
знают,Know
лучший,best
добро,good
спасти,save
рождения,birth
оставить,leave
чарли,Charlie
любишь,Love
конце,end
забыл,forgot
месяцев,months
часто,often
мило,nicely
комнате,room
нему,him
матери,Mother
милый,cute
полностью,fully
школе,school
леди,lady
серьёзно,Seriously
убили,Killed
случай,happening
джо,Joe
убийство,murder
послушайте,Listen
посмотрите,Look
пошел,Go
никакого,No
сделаем,Let's do it
говоря,speaking
неплохо,not bad
использовать,use
прошлой,past
иду,I'm going
узнал,I learned
прекрати,Stop
чуть,A little
держи,Hold it
невозможно,impossible
господа,Gentlemen
слушайте,Listen
наше,our
машине,car
сэм,Sam
свет,light
образом,way
иметь,have
другое,Other
другого,another
шесть,six
людям,people
погоди,wait a minute
имени,name
детка,baby
недели,weeks
меньше,less
легко,easily
крайней,extreme
девочка,girl
придётся,have to
мало,few
ненавижу,I hate
you,You
последние,The latter
насчёт,about
выглядишь,are looking
сообщение,message
думает,Thinking
друзей,friends
обещаю,I promise
агент,agent
вместо,instead of
последнее,last thing
самого,himself
настолько,so
ответ,answer
детектив,detective
понятия,concepts
родители,parents
показать,show
поехали,go
стало,It became
мэм,ma'am
своими,your own
всей,All
очевидно,obviously
помогите,Help
маленький,small
школу,School
пожаловать,Hard
твоё,your
либо,or
забрать,take
прошло,passed
особенно,especially
имеешь,You have
истории,stories
эм,Em
вопросы,questions
большая,Big
минутку,Minute
пол,floor
остановить,stop
чему,what
свидания,Dates
обязательно,necessarily
городе,city
убийца,killer
сделай,Do It
a,a
ваших,yours
любви,love
спокойной,calm
б,b
своё,your own
мадам,Madame
идите,Go
выйти,go out
делают,do
немедленно,immediately
делай,Do
возможность,possibility
человеком,man
бывает,happens
ужин,dinner
моем,mine
купить,buy
позвонить,Call
наконец,finally
стала,I became
любой,any
клянусь,I swear
смешно,funny
абсолютно,absolutely
всему,Everything
переводчики,Translators
забудь,forget
секунду,give me a sec
выбор,choice
тысяч,thousands
потерял,lost
майкл,Michael
волнуйся,worry
ноги,legs
таком,So
настоящий,real
означает,means
встретиться,Meet
известно,It is known
работаю,working
замечательно,great
любом,Anyone
оставь,Leave
связи,connections
боль,pain
выпить,drink
представить,introduce
убийства,murders
малыш,baby
умерла,Died
воды,water
окей,OK
речь,speech
хорошие,good ones
поводу,reason
перестань,stop doing that
увидел,saw
повезло,Lucky
президент,the president
мужик,man
которым,which
прошлом,past
дам,I will give
десять,ten
умереть,die
поговорим,Let's talk
отцом,Father
искать,search
тихо,quiet
оставил,left
пистолет,pistol
начал,began
сложно,difficult
города,cities
неделе,week
хотелось,I wanted to
принять,to accept
историю,History
босс,boss
держать,Keep
пойдём,let's go to
подумала,I thought
фильм,movie
слышишь,You hear
рано,early
удачи,good luck
еду,I'm going
словно,Like
причина,cause
пришёл,Came
э,e
компании,Company
спокойно,calmly
работал,worked
подумать,Think
вести,news
вещь,thing
брата,brother
конца,end
получится,It will turn out
блин,pancake
право,right
ввиду,In view of
бога,God
по-моему,to my mind
подарок,gift
комнату,room
мира,Mira
успокойся,take it easy
позволить,allow
моему,mine
идёт,It goes
самая,The most
рассказал,told
курсе,Course
намного,much
мистера,Mr.
женщин,women
тяжело,hard
ух,wow
предложение,sentence
одним,one
